idle_rpm,max_rpm,gear,max_gears,rpm,turbo,turboMax,input_throttle,input_brake,input_clutch,input_parkingBrake,input_steeringPercent,accY,pitchPos,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,suspension_position_fl,suspension_position_fr,suspension_position_rl,suspension_position_rr
1000.0,8000.0,1,3,3843.51,5.97,40.01,1.0,0.0,0.0,0.0,-0.0,-0.03,-0.95,0.13,0.19,0.05,0.06,1.66,1.64,1.36,1.39
1000.0,8000.0,1,3,3870.86,5.99,40.01,1.0,0.0,0.0,0.0,-0.0,-0.03,-0.94,0.15,0.15,0.04,0.08,1.67,1.64,1.36,1.39
1000.0,8000.0,1,3,3901.57,6.01,40.01,1.0,0.0,0.0,0.0,-0.0,-0.02,-0.94,0.1,0.14,0.0,0.1,1.66,1.64,1.35,1.4
1000.0,8000.0,1,3,3901.57,6.01,40.01,1.0,0.0,0.0,0.0,-0.0,-0.02,-0.93,0.09,0.03,0.02,0.11,1.66,1.64,1.35,1.4
1000.0,8000.0,1,3,3933.68,6.03,40.01,1.0,0.0,0.0,0.0,-0.0,-0.01,-0.93,0.08,0.21,0.02,0.09,1.65,1.65,1.34,1.41
1000.0,8000.0,1,3,3964.18,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.92,0.09,0.09,0.0,0.04,1.65,1.65,1.34,1.41
1000.0,8000.0,1,3,3940.05,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,0.0,-0.92,0.1,0.1,0.02,0.02,1.64,1.65,1.33,1.41
1000.0,8000.0,1,3,3876.95,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-0.91,0.04,0.08,0.03,0.02,1.64,1.65,1.33,1.42
1000.0,8000.0,1,3,3833.79,6.0,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-0.91,0.1,0.02,0.02,0.02,1.63,1.65,1.33,1.41
1000.0,8000.0,1,3,3814.96,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-0.91,0.1,0.03,0.01,0.02,1.63,1.65,1.33,1.41
1000.0,8000.0,1,3,3813.99,5.95,40.01,1.0,0.0,0.0,0.0,-0.0,0.02,-0.9,0.1,0.05,0.01,0.0,1.63,1.64,1.33,1.41
1000.0,8000.0,1,3,3825.84,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,0.02,-0.9,0.02,0.0,0.04,0.04,1.63,1.64,1.33,1.4
1000.0,8000.0,1,3,3847.07,5.98,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.91,0.0,0.03,0.06,0.09,1.63,1.63,1.33,1.4
1000.0,8000.0,1,3,3873.96,6.0,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.91,0.03,0.09,0.03,0.06,1.63,1.62,1.33,1.39
1000.0,8000.0,1,3,3904.29,6.02,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.91,0.01,0.09,0.0,0.03,1.63,1.62,1.33,1.39
1000.0,8000.0,1,3,3936.05,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.92,0.05,0.08,0.03,0.02,1.63,1.63,1.33,1.38
